iter	Passed	Remaining
0	133	133831
1	135	67553
2	136	45473
3	138	34415
4	139	27754
5	140	23327
6	142	20160
7	143	17804
8	145	15968
9	146	14498
10	147	13287
11	149	12271
12	150	11432
13	152	10714
14	153	10081
15	154	9521
16	156	9028
17	157	8596
18	159	8210
19	160	7863
20	161	7543
21	163	7253
22	164	6989
23	165	6746
24	167	6524
25	168	6317
26	169	6125
27	171	5945
28	172	5779
29	174	5627
30	175	5486
31	176	5353
32	178	5222
33	179	5103
34	181	4990
35	182	4883
36	183	4782
37	185	4686
38	186	4595
39	187	4509
40	189	4425
41	190	4348
42	192	4274
43	193	4202
44	194	4133
45	196	4067
46	197	4003
47	198	3943
48	200	3887
49	201	3831
50	203	3778
51	204	3727
52	205	3675
53	206	3625
54	208	3580
55	209	3539
56	211	3498
57	213	3460
58	214	3419
59	215	3377
60	216	3339
61	218	3301
62	219	3264
63	220	3228
64	221	3193
65	223	3159
66	224	3128
67	225	3088
68	226	3058
69	228	3029
70	229	2999
71	230	2971
72	231	2944
73	233	2918
74	234	2891
75	235	2867
76	237	2843
77	238	2821
78	240	2798
79	241	2774
80	242	2751
81	243	2729
82	245	2707
83	246	2685
84	247	2660
85	248	2639
86	249	2616
87	250	2597
88	251	2578
89	253	2562
90	254	2544
91	256	2526
92	257	2509
93	258	2491
94	259	2475
95	261	2460
96	262	2444
97	263	2429
98	265	2414
99	266	2399
100	268	2388
101	269	2369
102	270	2355
103	271	2342
104	273	2327
105	274	2314
106	275	2300
107	277	2287
108	278	2275
109	279	2261
110	280	2248
111	282	2236
112	283	2226
113	285	2215
114	286	2202
115	287	2189
116	288	2177
117	289	2166
118	290	2153
119	292	2141
120	293	2130
121	294	2119
122	295	2104
123	296	2095
124	297	2085
125	299	2077
126	300	2068
127	301	2055
128	302	2045
129	304	2036
130	305	2027
131	306	2017
132	308	2008
133	309	1999
134	310	1991
135	311	1982
136	313	1975
137	314	1966
138	316	1958
139	317	1950
140	318	1942
141	320	1933
142	321	1925
143	322	1917
144	323	1909
145	325	1901
146	326	1894
147	327	1887
148	329	1880
149	330	1874
150	332	1866
151	333	1859
152	334	1852
153	335	1844
154	337	1837
155	338	1830
156	339	1823
157	340	1816
158	342	1810
159	343	1804
160	345	1798
161	346	1792
162	347	1785
163	349	1779
164	350	1773
165	351	1767
166	352	1760
167	354	1754
168	355	1748
169	356	1742
170	358	1736
171	359	1732
172	361	1726
173	362	1720
174	363	1715
175	365	1709
176	366	1703
177	367	1697
178	368	1691
179	370	1686
180	370	1677
181	372	1672
182	373	1667
183	375	1663
184	376	1658
185	377	1654
186	379	1648
187	380	1643
188	381	1638
189	383	1633
190	384	1627
191	385	1622
192	386	1618
193	388	1613
194	389	1609
195	391	1604
196	392	1599
197	393	1594
198	394	1589
199	396	1584
200	397	1580
201	398	1575
202	400	1570
203	401	1565
204	402	1561
205	404	1557
206	405	1553
207	407	1550
208	408	1545
209	409	1540
210	410	1536
211	412	1532
212	413	1527
213	414	1523
214	416	1519
215	417	1515
216	418	1511
217	420	1508
218	421	1504
219	423	1500
220	424	1495
221	425	1491
222	426	1486
223	428	1482
224	429	1478
225	430	1474
226	431	1471
227	433	1466
228	434	1463
229	436	1460
230	437	1456
231	438	1452
232	440	1449
233	441	1445
234	442	1441
235	444	1437
236	445	1434
237	446	1430
238	448	1427
239	449	1424
240	451	1420
241	452	1417
242	453	1414
243	455	1410
244	456	1406
245	457	1402
246	458	1399
247	460	1395
248	461	1391
249	462	1388
250	464	1384
251	465	1381
252	466	1378
253	468	1374
254	469	1370
255	470	1367
256	471	1364
257	473	1361
258	474	1358
259	476	1356
260	477	1353
261	479	1351
262	481	1350
263	483	1348
264	484	1345
265	486	1342
266	487	1339
267	489	1335
268	490	1332
269	491	1329
270	493	1326
271	495	1325
272	496	1322
273	497	1318
274	499	1315
275	500	1312
276	501	1309
277	503	1306
278	504	1304
279	506	1301
280	507	1298
281	508	1295
282	510	1292
283	511	1289
284	512	1286
285	514	1283
286	515	1280
287	516	1277
288	518	1274
289	519	1272
290	520	1269
291	522	1266
292	523	1263
293	524	1260
294	526	1257
295	527	1254
296	528	1251
297	530	1248
298	531	1246
299	532	1243
300	533	1240
301	535	1236
302	536	1233
303	537	1230
304	538	1228
305	540	1225
306	541	1222
307	542	1219
308	543	1216
309	545	1213
310	546	1210
311	547	1208
312	549	1205
313	550	1202
314	551	1199
315	552	1196
316	554	1194
317	555	1191
318	556	1188
319	558	1185
320	559	1183
321	560	1180
322	561	1177
323	563	1174
324	564	1172
325	565	1169
326	566	1166
327	568	1164
328	569	1161
329	571	1159
330	572	1156
331	573	1154
332	574	1151
333	576	1149
334	577	1146
335	578	1143
336	580	1141
337	581	1138
338	582	1136
339	584	1133
340	585	1131
341	586	1128
342	588	1126
343	589	1124
344	590	1121
345	592	1119
346	593	1116
347	594	1114
348	595	1111
349	597	1109
350	598	1107
351	600	1105
352	601	1102
353	603	1100
354	604	1098
355	605	1096
356	607	1093
357	608	1091
358	610	1089
359	611	1086
360	612	1084
361	613	1081
362	615	1080
363	617	1078
364	618	1076
365	619	1073
366	621	1071
367	622	1068
368	623	1066
369	624	1063
370	626	1061
371	627	1059
372	628	1056
373	630	1054
374	631	1052
375	632	1050
376	634	1048
377	635	1046
378	637	1043
379	638	1041
380	639	1039
381	640	1036
382	641	1034
383	643	1031
384	644	1029
385	646	1028
386	647	1025
387	649	1023
388	650	1021
389	651	1019
390	652	1016
391	654	1014
392	655	1012
393	656	1010
394	658	1007
395	659	1005
396	660	1003
397	662	1001
398	663	999
399	664	997
400	666	994
401	667	992
402	668	990
403	669	988
404	671	986
405	672	983
406	673	981
407	675	979
408	676	977
409	678	975
410	679	973
411	680	971
412	681	969
413	683	967
414	684	965
415	685	962
416	687	960
417	688	958
418	689	956
419	691	955
420	693	953
421	694	951
422	695	949
423	697	947
424	698	945
425	699	942
426	701	940
427	702	938
428	703	936
429	704	934
430	706	932
431	708	930
432	710	930
433	711	928
434	712	925
435	714	923
436	715	921
437	716	919
438	718	917
439	719	915
440	720	913
441	722	912
442	724	910
443	725	908
444	726	906
445	728	904
446	729	902
447	730	900
448	732	898
449	733	896
450	734	894
451	735	892
452	737	890
453	738	888
454	740	886
455	741	884
456	742	882
457	743	880
458	745	878
459	746	876
460	747	874
461	748	872
462	750	870
463	751	868
464	752	866
465	754	864
466	755	862
467	756	860
468	758	858
469	759	856
470	760	854
471	761	852
472	763	850
473	764	848
474	765	846
475	767	844
476	768	842
477	769	840
478	771	838
479	772	836
480	773	834
481	774	832
482	776	830
483	777	828
484	778	826
485	779	824
486	781	822
487	782	821
488	783	819
489	784	817
490	786	815
491	787	813
492	788	811
493	790	809
494	791	807
495	792	805
496	794	803
497	795	801
498	796	799
499	797	797
500	799	796
501	800	794
502	801	792
503	802	790
504	804	788
505	805	786
506	806	784
507	808	782
508	809	780
509	810	779
510	812	777
511	813	775
512	814	773
513	816	771
514	817	769
515	818	768
516	820	766
517	821	764
518	822	762
519	823	760
520	825	758
521	826	756
522	827	755
523	829	753
524	830	751
525	831	749
526	833	747
527	834	745
528	835	744
529	836	742
530	838	740
531	839	738
532	841	736
533	842	735
534	843	733
535	845	731
536	846	729
537	847	727
538	848	725
539	850	724
540	851	722
541	852	720
542	853	718
543	855	716
544	856	715
545	857	713
546	858	711
547	860	709
548	861	707
549	862	705
550	864	704
551	865	702
552	866	700
553	867	698
554	869	696
555	870	695
556	871	693
557	873	691
558	874	689
559	875	687
560	876	686
561	877	684
562	879	682
563	880	680
564	881	678
565	883	677
566	884	675
567	885	673
568	886	671
569	888	670
570	889	668
571	890	666
572	892	664
573	893	663
574	894	661
575	896	659
576	897	657
577	898	656
578	900	654
579	901	652
580	902	650
581	903	649
582	905	647
583	906	645
584	907	644
585	909	642
586	910	640
587	911	638
588	913	637
589	914	635
590	915	633
591	916	631
592	918	630
593	919	628
594	920	626
595	922	625
596	923	623
597	924	621
598	925	619
599	927	618
600	928	616
601	929	614
602	930	612
603	932	611
604	933	609
605	934	607
606	936	606
607	937	604
608	938	602
609	939	600
610	941	599
611	942	597
612	943	595
613	945	594
614	946	592
615	947	590
616	949	589
617	950	587
618	951	585
619	952	584
620	954	582
621	955	580
622	956	578
623	958	577
624	959	575
625	960	573
626	961	572
627	962	570
628	964	568
629	965	567
630	966	565
631	968	563
632	969	562
633	970	560
634	972	558
635	973	557
636	974	555
637	976	553
638	977	552
639	978	550
640	979	548
641	981	547
642	982	545
643	983	543
644	984	542
645	986	540
646	987	538
647	988	537
648	990	535
649	991	533
650	992	532
651	994	530
652	996	529
653	997	527
654	998	526
655	1000	524
656	1001	522
657	1002	521
658	1004	519
659	1005	517
660	1006	516
661	1007	514
662	1009	512
663	1010	511
664	1011	509
665	1013	508
666	1014	506
667	1015	504
668	1017	503
669	1018	501
670	1019	500
671	1021	498
672	1022	496
673	1023	495
674	1024	493
675	1026	491
676	1027	490
677	1029	488
678	1030	487
679	1031	485
680	1032	483
681	1034	482
682	1035	480
683	1036	478
684	1037	477
685	1039	475
686	1040	474
687	1041	472
688	1042	470
689	1044	469
690	1045	467
691	1046	465
692	1048	464
693	1049	462
694	1050	461
695	1052	459
696	1053	458
697	1054	456
698	1056	454
699	1057	453
700	1059	451
701	1060	450
702	1062	448
703	1064	447
704	1065	445
705	1066	443
706	1067	442
707	1068	440
708	1069	439
709	1072	438
710	1074	436
711	1076	435
712	1077	433
713	1079	432
714	1080	430
715	1082	429
716	1083	427
717	1084	426
718	1088	425
719	1089	423
720	1091	422
721	1092	420
722	1094	419
723	1095	417
724	1097	416
725	1098	414
726	1099	412
727	1101	411
728	1103	410
729	1104	408
730	1105	406
731	1107	405
732	1108	403
733	1109	402
734	1111	400
735	1113	399
736	1114	397
737	1115	396
738	1117	394
739	1118	393
740	1120	391
741	1121	390
742	1123	388
743	1124	386
744	1125	385
745	1127	383
746	1129	382
747	1130	380
748	1131	379
749	1133	377
750	1134	376
751	1136	374
752	1137	373
753	1139	371
754	1140	370
755	1141	368
756	1143	366
757	1144	365
758	1145	363
759	1147	362
760	1148	360
761	1150	359
762	1151	357
763	1152	356
764	1154	354
765	1155	353
766	1156	351
767	1158	349
768	1159	348
769	1161	346
770	1163	345
771	1164	343
772	1165	342
773	1167	340
774	1168	339
775	1169	337
776	1171	336
777	1172	334
778	1173	332
779	1174	331
780	1176	329
781	1177	328
782	1179	326
783	1180	325
784	1181	323
785	1183	322
786	1184	320
787	1185	318
788	1186	317
789	1188	315
790	1189	314
791	1190	312
792	1192	311
793	1193	309
794	1194	308
795	1196	306
796	1197	305
797	1198	303
798	1200	301
799	1201	300
800	1202	298
801	1203	297
802	1205	295
803	1206	294
804	1207	292
805	1209	291
806	1210	289
807	1211	287
808	1213	286
809	1214	284
810	1215	283
811	1216	281
812	1218	280
813	1219	278
814	1220	277
815	1222	275
816	1223	274
817	1224	272
818	1226	270
819	1227	269
820	1228	267
821	1230	266
822	1231	264
823	1232	263
824	1233	261
825	1235	260
826	1236	258
827	1237	257
828	1239	255
829	1240	254
830	1241	252
831	1243	251
832	1244	249
833	1245	247
834	1247	246
835	1248	244
836	1249	243
837	1251	241
838	1252	240
839	1254	238
840	1255	237
841	1256	235
842	1258	234
843	1259	232
844	1260	231
845	1261	229
846	1263	228
847	1264	226
848	1265	225
849	1266	223
850	1268	222
851	1269	220
852	1270	219
853	1272	217
854	1273	215
855	1274	214
856	1276	212
857	1277	211
858	1278	209
859	1280	208
860	1281	206
861	1282	205
862	1284	203
863	1285	202
864	1287	200
865	1288	199
866	1289	197
867	1290	196
868	1292	194
869	1293	193
870	1294	191
871	1296	190
872	1297	188
873	1298	187
874	1300	185
875	1301	184
876	1302	182
877	1304	181
878	1305	179
879	1306	178
880	1307	176
881	1309	175
882	1310	173
883	1311	172
884	1313	170
885	1314	169
886	1316	167
887	1317	166
888	1318	164
889	1319	163
890	1321	161
891	1322	160
892	1323	158
893	1325	157
894	1326	155
895	1327	154
896	1329	152
897	1330	151
898	1331	149
899	1333	148
900	1334	146
901	1335	145
902	1337	143
903	1338	142
904	1339	140
905	1340	139
906	1342	137
907	1343	136
908	1345	134
909	1346	133
910	1347	131
911	1348	130
912	1350	128
913	1351	127
914	1352	125
915	1353	124
916	1355	122
917	1356	121
918	1357	119
919	1358	118
920	1360	116
921	1361	115
922	1362	113
923	1364	112
924	1365	110
925	1366	109
926	1368	107
927	1369	106
928	1370	104
929	1372	103
930	1373	101
931	1375	100
932	1376	98
933	1378	97
934	1378	95
935	1380	94
936	1381	92
937	1382	91
938	1384	89
939	1385	88
940	1386	86
941	1387	85
942	1389	83
943	1390	82
944	1392	81
945	1393	79
946	1394	78
947	1396	76
948	1397	75
949	1398	73
950	1399	72
951	1401	70
952	1402	69
953	1403	67
954	1405	66
955	1406	64
956	1407	63
957	1409	61
958	1410	60
959	1411	58
960	1412	57
961	1414	55
962	1415	54
963	1416	52
964	1418	51
965	1419	49
966	1420	48
967	1422	47
968	1423	45
969	1424	44
970	1426	42
971	1427	41
972	1428	39
973	1429	38
974	1431	36
975	1432	35
976	1434	33
977	1435	32
978	1436	30
979	1438	29
980	1439	27
981	1440	26
982	1441	24
983	1443	23
984	1444	21
985	1445	20
986	1447	19
987	1448	17
988	1449	16
989	1451	14
990	1452	13
991	1454	11
992	1455	10
993	1456	8
994	1457	7
995	1459	5
996	1460	4
997	1461	2
998	1463	1
999	1464	0
